speed (km/h),rpm,crank angle,t_cyclist,t_mg1,t_mg2,o_mg1,o_mg2,t_dc
"0,0054588308748309755","-0,02317852910540872","-0,03146442724577733","0,9377080835165262","0,033916135460627106","1,8754161670330525","0,1371544455588304","0,004693104022517087","2,1000000000000005"
"0,019154730132449158","0,01819610291610325","-0,03127396863655448","0,9830588956247871","0,03555643729202975","1,9661177912495742","0,1932424029120938","0,01646783772864366","2,2000000000000006"
"0,03418776479263442","0,06384910044149719","-0,03060566010223333","1,0303055920158417","0,037265311709382354","2,0606111840316834","0,2541147617547977","0,029392142777119587","2,3000000000000007"
"0,05062375176554632","0,11395921597544807","-0,029412848988618314","1,0798792662349854","0,03905835101410095","2,159758532469971","0,3200991591148247","0,0435226037394222","2,400000000000001"
"0,06854203045327974","0,16874583921848776","-0,027646586289518403","1,1322581085208967","0,04095285095653263","2,2645162170417934","0,3915792279160589","0,058927430837786496","2,500000000000001"
"0,08803698014654608","0,22847343484426577","-0,025255154847003473","1,1879739919085357","0,042968048949917924","2,3759479838170714","0,46900123417418743","0,07568776449202697","2,600000000000001"
"0,1092197596351123","0,293456600488487","-0,022183544609690478","1,24762033862358","0,04512540859145217","2,49524067724716","0,5528817720456185","0,0938991709095157","2,700000000000001"
"0,13222031029526737","0,36406586545037434","-0,01837286719602141","1,311861448120333","0,04744895704979757","2,623722896240666","0,6438166977320496","0,11367336419346209","2,800000000000001"
"0,15718966971053294","0,44073436765089125","-0,01375970056981953","1,3814434923312526","0,049965682754277756","2,7628869846625053","0,7424915082886812","0,13514019542499134","2,9000000000000012"
"0,1843026493362328","0,5239655657017764","-0,008275352993619036","1,4572074073135926","0,05270600167520683","2,914414814627185","0,8496933983621714","0,15844995472354","3,0000000000000013"
"0,21376093673210736","0,6143421644541094","-0,001845033558277873","1,5401039305515685","0,05570430121082629","3,080207861103137","0,9663252556602976","0,18377603831984196","3,1000000000000014"
"0,2457966902189043","0,7125364557736912","0,005613085524305353","1,6312110448194452","0,05899957111758474","3,2624220896388905","1,093421882421829","0,21131803897907792","3,2000000000000015"
"0,2806767010002663","0,8193223007296809","0,014188932046042924","1,73175408485885","0,06263613075223312","3,4635081697177","1,2321687516735504","0,24130532428923476","3,3000000000000016"
"0,3187072040122769","0,935589003334221","0,023981742143942216","1,8431287297151857","0,06666446068585276","3,6862574594303714","1,3839236176117344","0,2740011726781156","3,4000000000000017"
"0,3602394226508501","1,0623573467075897","0,03510143649193056","1,9669270219880006","0,07114214379888854","3,9338540439760012","1,5502412893453357","0,3097075403649112","3,5000000000000018"
"0,4056759318642622","1,2007980755028338","0,04767018994821872","2,104966395540297","0,0761349151896849","4,209932791080594","1,7329018312250593","0,34877053188233964","3,600000000000002"
"0,4554779153729112","1,3522531062142074","0,06182422321096283","2,259321409710624","0,08171780997501661","4,518642819421248","1,9339423473664084","0,3915866393040606","3,700000000000002"
